date, price
10/7/2001,58.96 
11/7/2001,57.89 
12/7/2001,57.71 
13/7/2001,57.53 
16/7/2001,57.36 
17/7/2001,57.36 
18/7/2001,57.71 
19/7/2001,56.64 
20/7/2001,56.82 
23/7/2001,57.00 
24/7/2001,56.11 
25/7/2001,56.11 
26/7/2001,53.96 
27/7/2001,53.96 
30/7/2001,53.43 
31/7/2001,55.21 
1/8/2001,57.00 
2/8/2001,56.64 
3/8/2001,55.75 
6/8/2001,55.75 
7/8/2001,54.14 
8/8/2001,52.71 
9/8/2001,50.39 
10/8/2001,50.39 
13/8/2001,48.06 
14/8/2001,49.85 
15/8/2001,50.74 
16/8/2001,50.21 
17/8/2001,51.46 
20/8/2001,49.67 
21/8/2001,48.96 
22/8/2001,48.42 
23/8/2001,49.32 
24/8/2001,50.21 
27/8/2001,51.28 
28/8/2001,52.17 
29/8/2001,52.89 
30/8/2001,53.43 
31/8/2001,51.46 
3/9/2001,51.28 
4/9/2001,51.46 
5/9/2001,50.74 
6/9/2001,49.32 
7/9/2001,46.64 
10/9/2001,46.64 
11/9/2001,46.64 
12/9/2001,41.63 
13/9/2001,42.53 
14/9/2001,42.17 
17/9/2001,40.02 
18/9/2001,39.31 
19/9/2001,40.74 
20/9/2001,39.13 
21/9/2001,37.34 
24/9/2001,37.34 
25/9/2001,38.77 
26/9/2001,39.85 
27/9/2001,41.63 
28/9/2001,41.63 
1/10/2001,41.63 
2/10/2001,41.63 
3/10/2001,43.96 
4/10/2001,44.49 
5/10/2001,45.21 
8/10/2001,43.78 
9/10/2001,45.38 
10/10/2001,44.85 
11/10/2001,46.99 
12/10/2001,46.64 
15/10/2001,46.28 
16/10/2001,46.81 
17/10/2001,48.42 
18/10/2001,46.64 
19/10/2001,45.74 
22/10/2001,46.10 
23/10/2001,48.06 
24/10/2001,48.06 
25/10/2001,48.06 
26/10/2001,48.06 
29/10/2001,48.06 
30/10/2001,47.71 
31/10/2001,47.17 
1/11/2001,47.53 
2/11/2001,47.17 
5/11/2001,48.60 
6/11/2001,48.42 
7/11/2001,47.89 
8/11/2001,48.78 
9/11/2001,48.78 
12/11/2001,50.21 
13/11/2001,51.10 
14/11/2001,53.25 
15/11/2001,55.39 
16/11/2001,56.28 
19/11/2001,55.57 
20/11/2001,55.21 
21/11/2001,54.32 
22/11/2001,54.85 
23/11/2001,55.93 
26/11/2001,56.82 
27/11/2001,55.75 
28/11/2001,53.07 
29/11/2001,52.00 
30/11/2001,53.96 
3/12/2001,53.96 
4/12/2001,55.93 
5/12/2001,58.07 
6/12/2001,59.14 
7/12/2001,58.79 
10/12/2001,59.50 
11/12/2001,58.25 
12/12/2001,59.32 
13/12/2001,57.89 
14/12/2001,57.53 
17/12/2001,57.71 
18/12/2001,58.07 
19/12/2001,59.32 
20/12/2001,59.50 
21/12/2001,56.82 
24/12/2001,56.82 
25/12/2001,56.82 
26/12/2001,56.82 
27/12/2001,56.82 
28/12/2001,57.71 
31/12/2001,57.89 
1/1/2002,57.89 
2/1/2002,57.36 
3/1/2002,57.36 
4/1/2002,58.25 
7/1/2002,60.75 
8/1/2002,59.86 
9/1/2002,59.68 
10/1/2002,58.25 
11/1/2002,57.00 
14/1/2002,57.36 
15/1/2002,56.11 
16/1/2002,55.57 
17/1/2002,55.39 
18/1/2002,54.68 
21/1/2002,55.57 
22/1/2002,54.14 
23/1/2002,53.96 
24/1/2002,53.60 
25/1/2002,53.60 
28/1/2002,53.43 
29/1/2002,55.57 
30/1/2002,53.96 
31/1/2002,53.96 
1/2/2002,52.89 
4/2/2002,52.71 
5/2/2002,52.17 
6/2/2002,51.64 
7/2/2002,50.39 
8/2/2002,49.85 
11/2/2002,51.10 
12/2/2002,51.10 
13/2/2002,51.10 
14/2/2002,51.10 
15/2/2002,51.82 
18/2/2002,52.53 
19/2/2002,51.28 
20/2/2002,51.46 
21/2/2002,51.64 
22/2/2002,50.57 
25/2/2002,48.96 
26/2/2002,47.71 
27/2/2002,48.06 
28/2/2002,46.46 
1/3/2002,46.46 
4/3/2002,47.53 
5/3/2002,49.32 
6/3/2002,49.14 
7/3/2002,50.74 
8/3/2002,50.92 
11/3/2002,52.17 
12/3/2002,51.28 
13/3/2002,50.74 
14/3/2002,51.28 
15/3/2002,50.74 
18/3/2002,50.57 
19/3/2002,50.74 
20/3/2002,50.03 
21/3/2002,49.32 
22/3/2002,48.78 
25/3/2002,48.78 
26/3/2002,48.96 
27/3/2002,49.85 
28/3/2002,49.85 
29/3/2002,49.85 
1/4/2002,49.85 
2/4/2002,48.78 
3/4/2002,48.78 
4/4/2002,49.32 
5/4/2002,49.32 
8/4/2002,48.24 
9/4/2002,48.60 
10/4/2002,48.06 
11/4/2002,48.60 
12/4/2002,48.78 
15/4/2002,48.96 
16/4/2002,48.78 
17/4/2002,51.46 
18/4/2002,52.35 
19/4/2002,52.89 
22/4/2002,52.35 
23/4/2002,53.07 
24/4/2002,53.07 
25/4/2002,52.35 
26/4/2002,52.00 
29/4/2002,52.00 
30/4/2002,53.07 
1/5/2002,53.07 
2/5/2002,54.50 
3/5/2002,54.32 
6/5/2002,54.50 
7/5/2002,54.68 
8/5/2002,53.78 
9/5/2002,53.07 
10/5/2002,53.25 
13/5/2002,53.78 
14/5/2002,52.89 
15/5/2002,54.32 
16/5/2002,54.14 
17/5/2002,55.03 
20/5/2002,55.03 
21/5/2002,54.14 
22/5/2002,54.14 
23/5/2002,53.07 
24/5/2002,52.53 
27/5/2002,52.53 
28/5/2002,52.17 
29/5/2002,51.28 
30/5/2002,50.74 
31/5/2002,51.64 
3/6/2002,50.74 
4/6/2002,50.92 
5/6/2002,51.82 
6/6/2002,51.46 
7/6/2002,52.00 
10/6/2002,52.00 
11/6/2002,51.46 
12/6/2002,50.74 
13/6/2002,50.39 
14/6/2002,49.67 
17/6/2002,49.32 
18/6/2002,48.78 
19/6/2002,47.35 
20/6/2002,48.24 
21/6/2002,47.53 
24/6/2002,47.35 
25/6/2002,46.99 
26/6/2002,45.56 
27/6/2002,46.46 
28/6/2002,46.46 
1/7/2002,46.46 
2/7/2002,46.10 
3/7/2002,47.17 
4/7/2002,47.89 
5/7/2002,48.06 
8/7/2002,47.53 
9/7/2002,47.53 
10/7/2002,47.71 
11/7/2002,46.64 
12/7/2002,47.17 
15/7/2002,47.53 
16/7/2002,46.10 
17/7/2002,45.03 
18/7/2002,45.92 
19/7/2002,45.21 
22/7/2002,43.78 
23/7/2002,45.38 
24/7/2002,43.42 
25/7/2002,42.35 
26/7/2002,41.45 
29/7/2002,43.24 
30/7/2002,44.49 
31/7/2002,44.13 
1/8/2002,43.42 
2/8/2002,42.17 
5/8/2002,41.28 
6/8/2002,40.02 
7/8/2002,41.81 
8/8/2002,40.92 
9/8/2002,39.67 
12/8/2002,39.13 
13/8/2002,40.02 
14/8/2002,39.13 
15/8/2002,40.38 
16/8/2002,40.20 
19/8/2002,40.02 
20/8/2002,41.10 
21/8/2002,41.63 
22/8/2002,41.63 
23/8/2002,41.63 
26/8/2002,41.63 
27/8/2002,40.74 
28/8/2002,40.02 
29/8/2002,39.85 
30/8/2002,39.85 
2/9/2002,39.31 
3/9/2002,39.49 
4/9/2002,40.20 
5/9/2002,39.49 
6/9/2002,39.67 
9/9/2002,39.49 
10/9/2002,40.02 
